id,name,is_representative,prototypicality,familiarity,valence_raw,arousal_raw,valence,arousal,category,source
E001,가뜬하다,False,3.37,3.26,4.51,3.8,0.17,-0.0667,긍정,KSPPA_2005
E002,경탄하다,False,3.76,3.16,3.99,5.35,-0.0033,0.45,중립,KSPPA_2005
E003,가련하다,False,3.92,3.87,3.11,3.17,-0.2967,-0.2767,부정,KSPPA_2005
E004,고깝다,False,3.08,3.02,2.42,4.18,-0.5267,0.06,부정,KSPPA_2005
E005,가소롭다,False,3.88,4.67,2.48,3.91,-0.5067,-0.03,부정,KSPPA_2005
E006,고뇌하다,False,3.54,4.08,2.71,3.72,-0.43,-0.0933,부정,KSPPA_2005
E007,가엾다,False,4.54,5.11,3.0,3.33,-0.3333,-0.2233,부정,KSPPA_2005
E008,고독하다,False,4.57,5.18,2.38,2.47,-0.54,-0.51,부정,KSPPA_2005
E009,가증스럽다,False,4.1,4.47,1.88,5.08,-0.7067,0.36,부정,KSPPA_2005
E010,고립감,False,3.52,4.13,2.08,3.28,-0.64,-0.24,부정,KSPPA_2005
E011,가책,False,3.45,4.13,2.55,4.21,-0.4833,0.07,부정,KSPPA_2005
E012,고맙다,True,5.39,6.13,5.5,3.77,0.5,-0.0767,긍정,KSPPA_2005
E013,갈등하다,True,4.19,5.25,2.59,4.82,-0.47,0.2733,부정,KSPPA_2005
E014,고무되다,False,3.92,3.61,4.73,4.16,0.2433,0.0533,긍정,KSPPA_2005
E015,감개,False,3.78,3.45,4.96,4.24,0.32,0.08,긍정,KSPPA_2005
E016,고민하다,False,4.15,5.55,2.75,3.29,-0.4167,-0.2367,부정,KSPPA_2005
E017,감개무량하다,False,4.29,3.9,4.97,4.83,0.3233,0.2767,긍정,KSPPA_2005
E018,고적하다,False,2.91,2.6,3.24,2.54,-0.2533,-0.4867,부정,KSPPA_2005
E019,감격하다,False,5.07,5.46,5.43,5.19,0.4767,0.3967,긍정,KSPPA_2005
E020,곤혹스럽다,False,4.13,4.43,2.26,5.28,-0.58,0.4267,부정,KSPPA_2005
E021,감동하다,True,5.24,5.5,5.45,4.47,0.4833,0.1567,긍정,KSPPA_2005
E022,골나다,False,3.5,3.92,2.25,5.25,-0.5833,0.4167,부정,KSPPA_2005
E023,감명,False,4.06,4.24,5.28,4.01,0.4267,0.0033,긍정,KSPPA_2005
E024,공감하다,True,5.01,5.09,5.07,3.74,0.3567,-0.0867,긍정,KSPPA_2005
